	0	1	2	3	4	5	6	7
0	EDITAL DE FOMENTO PARA GRUPOS DOS CICLOS DA CULTURA TRADICIONAL POPULAR DO CEARÁ	3320000.00	06/04/2021	03/05/2021	2			
1	EDITAL CULTURA INFÂNCIA 2020	1500000.00	05/04/2020	27/04/2020	1			
2	XII EDITAL CEARÁ DE INCENTIVO ÀS ARTES	6877492.00	11/11/2019	06/12/2019	1	ARTES VISUAIS; DANÇA; CIRCO; HUMOR&COMÉDIA; FOTOGRAFIA; LITERATURA; MÚSICA; PRÊMIO ALBERTO NEPOMUCENO DE COMPOSIÇÃO MUSICAL; PRÊMIO PEDRO BOCA RICA DE TEATRO DE BONECOS; TEATRO	263.0	[['KELVIANE DE LIMA FERNANDES', 'RESIDÊNCIAS FORMATIVAS', 'FORTALEZA'], ['INSTITUTO UNIÃO DE ARTE EDUCAÇÃO E\rCULTURAS POPULARES', 'EXPOSIÇÃO FOLCLORE EM CENA', 'FORTALEZA'], ['GIULIANA LUIZA LIYE ODO', 'E ESTA É A TROMPA', 'FORTALEZA'], ['ANTONIO EDIVALDO FERREIRA', 'IV NORTE BIENAL DE ARTE', 'SOBRAL'], ['RAIMUNDO NONATO SOARES DA SILVA', 'MOSTRA DE ARTESANATO,\rEMPREENDEDORISMO E\rDESENVOLVIMENTO SUSTENTÁVEL', 'IPU'], ['PRISCILLA ALVES DE SOUSA', 'APRENDER A NADAR', 'FORTALEZA'], ['JOSÉ ALVES PIMENTA JÚNIOR', 'MAIS UM DIA: CLAUDIA SAMAPIO', 'FORTALEZA'], ['NÁDIA MARIA FERREIRA DE SOUSA', '/ARTE_SUBSTANTIVO FEMININO', 'FORTALEZA'], ['HÉRCULES GOMES DE LIMA', 'REVISTA DO LABORATÓRIO DE ARTE\rCONTEMPORÂNEA', 'FORTALEZA'], ['RAONI OLIVEIRA MARQUES', 'DICA HERÁLDICA', 'FORTALEZA'], ['RENATA GRACIANE FERREIRA DE SOUSA', 'CULTURA É A NOSSA PRAIA', 'FORTALEZA'], ['DANNIEL FERNANDES BEZERRA DE\rMENEZES', 'FILME ESPELHO DA VIDA', 'FORTALEZA'], ['FRANCISCO ADRIANO COSTA SOUZA', '“ALMA E MÃO”', 'SENADOR POMPEU'], ['FRANCISCO ALBERTO RODRIGUES DA\rSILVA', 'A UM TOQUE DAS ARTES VISUAIS\rCEARENSES', 'BATURITÉ'], ['JAILISON KELVY PEREIRA LIMA', 'COLEÇÃO DE ARTES CENTRO SUL', 'ACOPIARA'], ['ANDRÉ LUIZ DE FREITAS GOMES', 'ANIMAÇÃO SOBRE A VIDA DO ARTISTA\rIZIDORO, DE ARTES VISUAIS', 'QUIXADÁ'], ['LINDOMAR MARQUES DE OLIVEIRA', '“TAPETE DO NOSSO SENHOR DO BONFIM”', 'SENADOR POMPEU'], ['ASSOCIAÇÃO DE ARTE CULTURA E\rCIDADANIA DO MACIÇO DE BATURITÉ', 'MOSTRA DE CINEMA LUIZ SEVERIANO\rRIBEIRO', 'BATURITÉ'], ['EDVANDO TOMAZ DE LIMA', 'ARTES VISUAIS SERTÃO CENTRAL', 'QUIXADÁ'], ['EDVANDO TOMAZ DE LIMA', 'ARTES VISUAIS SERTÃO CENTRAL', 'QUIXADÁ'], ['ANNA MARCIA BELEM LIMA', 'AFROFUTURE - EXPOSIÇÃO E FORMAÇÃO\rEM NARRATIVAS PERIFÉRICAS', 'FORTALEZA'], ['RODRIGO DOS SANTOS FERREIRA', 'KIMBANDARIAS: DEMANDAS\rANTICOLONIAIS.', 'FORTALEZA'], ['PAOLLA MENCHETTI MARTINS', 'ATLÂNTICO AFROCEARENSE', 'FORTALEZA'], ['LEVY GALVÃO MOTA', 'DOSSIÊ GUARANY', 'FORTALEZA'], ['MARIA CLAUDINEIDE ALVES MACÊDO', 'UMOJA', 'JUAZEIRO DO NORTE'], ['DIEGO DE SOUSA SANTOS', 'SEM TÍTULO (PROVISÓRIO)', 'CAUCAIA'], ['SUYANE OLIVEIRA SANTOS', 'ESCONJURANDO DEMÔNIOS ATIVANDO O\rSISTEMA LÍMBICO E HISTORIANDO\rFICÇÕES', 'CRATO'], ['FRANCISCO EMESON NUNES ALVES', 'NOVOS OLHARES, NOVOS MOVIMENTOS', 'IPU'], ['FRANCISCO ADRIANO COSTA SOUZA', '“IMAGEM E DEVOÇÃO: A ICONOGRAFIA\rSACRA CRISTÃ E O CULTO AOS SANTOS\rNEGROS NO BRASIL”', 'SENADOR POMPEU'], ['FRANCISCO ANDERSON MORAIS ARES', 'PLANOS ÍNTIMOS', 'SOBRAL'], ['LOUISE CAVALCANTE FELIX', 'MEU CORPO É UMA NARRATIVA [2016-\r2019]', 'FORTALEZA'], ['LARISSA BATALHA SANTOS DA SILVA', 'GALERIA ABERTA: ESTRATÉGIAS DE\rSOBREVIVÊNCIA', 'FORTALEZA'], ['FRANCISCA FÁBIA DE OLIVEIRA SANTOS', 'AQUARELAS DO MUNDO- PINTANDO A\rMULHER NA HISTÓRIA', 'MERUOCA'], ['DOUGLAS MONTEIRO DE ARAUJO', 'ENTRE O BARRO E AS MÃOS', 'JUAZEIRO DO NORTE'], ['GRACIELE KARINE SIQUEIRA', 'CICLO DE OFICINAS 2020-2021 - OFICINA\rMESTRE NOZA', 'FORTALEZA'], ['FUNDAÇÃO DE APOIO A SERVIÇOS\rTÉCNICOS, ENSINO E FOMENTO A\rPESQUISAS', 'GESTÃO DO ATELIÊ-MATERIOTECA ICA-\rUFC', 'FORTALEZA'], ['INSTITUTO AMBIENTE CULTURAL E\rINCLUSÃO SOCIAL - IACIS', 'AMPLITUDE ATELIÊ DE ARTE E OFICINA', 'FORTALEZA'], ['INGRA RABELO DE CASTRO', 'SITU - FESTIVAL DE PERFORMANCE', 'FORTALEZA'], ['ELEN BEATRIZ GOMES DE ANDRADE', '“QUIXERAMOBIM, EU TE ESCREVO ESTA\rCARTA” ATELIÊ EM FILMES-CARTA:\rMULHERES QUE TECEM DIÁLOGOS COM O\rSERTÃO E A CIDADE', 'QUIXERAMOBIM'], ['CICERO SOARES DOS SANTOS', 'RESGATANDO  A  OBRA  E  A   MEMÓRIA\rDE  MESTRE  MAURICIO  FRANDILEIRO', 'JUAZEIRO DO NORTE'], ['ALEXANDRE LUCAS SILVA', 'LABORATÓRIO DE ESTUDOS, VIVÊRNCIAS\rE EXPERIMENTOS EM ARTE\rCONTEMPORÂNEA - LEVE ARTE\rCONTEMPORÂNEA', 'CRATO'], ['SILMARA PEIXOTO MOREIRA', 'VOZES DA COMUNIDADE: (RE) PINTANDO\rOS MUROS DA CIDADE COM A\rJUVENTUDE.', 'MARACANAÚ'], ['ASSOCIACAO COMUNITARIA DOS\rMORADORES RURAIS DE VAQUEJADOR-\rAD. IAPARA', 'ATELIÊ PEDACINHO DO CÉU', 'GRANJA'], ['FRANCISCA PAULA MACHADO', 'CONSERVAÇÃO PREVENTIVA DO ACERVO\rDOCUMENTAL DO MINIMUSEU FIRMEZA', 'FORTALEZA'], ['IAGO BARRETO SOARES', 'MITOLOGIAS INDÍGENAS DO CEARÁ', 'FORTALEZA'], ['INSTITUTO ASSUM PRETO DE ARTE,\rCULTURA, CIDADANIA E MEIO AMBIENTE', 'ROTA EXPEDIÇÃO 60. A HISTÓRIA\rPRIVADA DOS PRIMEIROS ÁLBUNS DE\rXILOGRAVURA DO MAUC.', 'SENADOR POMPEU'], ['INSTITUTO TRILHAS', 'COMO SE FAZ UM ARTISTA? TRAJETÓRIAS\rDE ARTISTAS CONTEMPORÂNEOS A\rPARTIR DO CEARÁ (2000-2010).', 'SENADOR POMPEU'], ['INSTITUTO TRILHAS', 'COMO SE FAZ UM ARTISTA? TRAJETÓRIAS\rDE ARTISTAS CONTEMPORÂNEOS A\rPARTIR DO CEARÁ (2000-2010).', 'SENADOR POMPEU']]
3	EDITAL DE CHAMADA PÚBLICA DE CREDENCIAMENTO DE PARECERISTA DA SECRETARIA DA CULTURA DO ESTADO DO CEARÁ	3234.00			1	  ARTES VISUAIS;   AUDIOVISUAL, ARTE DIGITAL E NOVAS MÍDIAS;   CIRCO;   DANÇA;   FOTOGRAFIA;   HUMOR;   LITERATURA;   MÚSICA;   TEATRO;   PATRIMÔNIO CULTURAL MATERIAL;   PATRIMÔNIO CULTURAL IMATERIAL;   MUSEUS E MEMÓRIA;   MODA E DESIGN;  INTERSETORIALIDADES DAS POLÍTICAS  PÚBLICAS DE CULTURA, GESTÃO E PRODUÇÃO CULTURAL		
4	EDITAIS – ARTE URGENTE	192000.00	01/02/2021	12/02/2021	2			
5	XIV EDITAL CEARÁ CINEMA E VÍDEO	8200000.00	18/11/2019	17/12/2019	2	CATEGORIA PRODUÇÃO		
6	FESTA DO SOL – CONVOCATÓRIA	4000.00	15/03/2021	25/03/2021	1			
7	XIII EDITAL MECENAS DO CEARÁ	26000000.00	03/02/2021	09/03/2021	3			
8	EDITAL DE CHAMAMENTO PÚBLICO PROJETO CIRCULA CEARÁ	613800.00	17/04/2019	17/05/2019	2	CIRCOOFICINA ACESSIBILIDADE ATITUDINALCULTURA POPULAR TRADICIONALDANÇAFOTOGRAFIAINTERVENÇÃO URBANALITERATURAMÚSICATEATRO		
9	CHAMADA PÚBLICA PARA SELEÇÃO E AQUISIÇÃO DE ACERVO BIBLIOGRÁFICO DE PRODUÇÃO CEARENSE PARA O SISTEMA ESTADUAL DE BIBLIOTECAS PÚBLICAS DO CEARÁ	2000000.00	07/10/2020	13/10/2020	1			
